,prompt,completion
495,"Two people. That's it.""

""Okay."" A smile crossed his face, and I knew he wasn't going to try anymore. Robbie was stubborn, but he knew I could out-stubborn him. ""So what do you want to name your boat?

I thought about it for a moment, frowning slightly as I went over", names
496,"""Gregor,"" said Mareth. ""You have need of medical assistance as well. You must come with me.""

""Is she going to live?"" asked Gregor.

""I cannot say. But she is getting the best treatment we are able to give. You do not help her, or anyone, by letting your wounds inflame,"" said", Mareth
497,"But even through the dimness of the place, they could spot it … sitting directly in the middle of the room, large and elegant.

The tablet they had come here for. 

Ion’s tension died out in an instant, as he released a great sigh of relief. 

“We’ve made it.” whispered Qyro by his right, his eyes on the", tablet
498,"But she knew from her brother Tony that Elizabeth and Jon had actually hired people to transform the house. Once again, Melanie reflected, just like when we were kids—Elizabeth, always the center of attention, taking credit for everything.
“How’s Aunt Casey holding up?”
“Surprisingly well. She’s in there.”
Elizabeth pointed to the small room and leaned closer to", Melanie
499,"Roku touched parts of the engine, pausing for a moment on each one to feel the temperature. He knocked on a plastic tank bolted to the side panel next to the twin batteries. It thumped hollowly under his knuckles.
“Electrical problem?” asked Marius from the cab.
“Could be the starter,” said", Roku
500,"He worked his way through the rest of the crowd and through the doorway, fielding all the questions and giving what he felt were the appropriate answers. Once inside the apartment, he fed Bagel and then called Debbie. He didn’t take Bagel for his nightly walk because he didn’t want to have to fight his way through the crowd again. Bagel didn’t seem to be too anxious so he thought he could wait until after he talked to", Debbie
501,"Lil just had time to jump inside before he slammed the door shut. Why did she let Tome do the talking?
“You’re not still angry about that thing with puppies,” Tome asked in bored tone.
“Puppies?” Lil asked before she could stop herself.
“Possessed puppies,” Delios corrected. “Of course, you didn’t mention that they were", possessed
502,"Furn figured Catlett’s address would be closer to the city and a long way from here. He got to the radio before Breeze could cue up one of his European hip hop collections, tuning to the Parliamentary Broadcast. There was a speech in progress: the Minister for the Environment defending the Murray-Dowling River Scheme.
‘You’ll put me to sleep at the wheel,’ said", Breeze
503,"“There are some perks to staying here.”
But Isabelle is being stubborn. “Cam, I really appreciate everything you’ve done for me, but I’m a big girl. I can take care of myself. I’ll handle things with Brent.”
Over my dead body.
I scowl. “I won’t hear of it,", Isabelle
504,"""I suppose not. -Where have you been living, Sheerin?""

His look was vague. ""Here. There. I went back to my apartment first, but the whole building complex had been burned out. Just a shell, nothing salvageable at all. I slept there that evening, right in the middle of the", ruins
505,"I had feelings for Brooks that had never gone away, but there are no rules for who you love. I felt the same way for his brother, whom I was marrying.

Although, a part of me was still very upset with Branch and the way he'd wedged himself into a relationship with me, knowing how his brother felt. It didn't seem fair and I felt sorry for", Brooks
506,"How can this be possible when you are more than sixty-five?”
“As you know, Nicchi, I have no answer to that question. I wish I did.”
Looking more seriously at them, he took out a sheaf of papers from his saddlebag. “When I said, ‘Let me introduce myself’, I was", serious
507,"You loved her.""

""I still believe that some sacrifices are too great to be made.""

Styx ignored the odd tightness in his chest. He didn't want to know what it might mean.

""This woman means nothing to us.""

Viper looked annoyingly unconvinced. ""It is your decision to make,", Styx
508,I wondered how long it would take the priest to realise I had actually left - not long I supposed - and what he would do about it. He might well get hunters from the village to hunt me down. They had agreed to build his temple readily enough. At any rate I put as much distance as I could between me and the, village
509,"Bowen asked.

He wanted to know all, because he was haunted by strange sensations. He could swear that Genevieve was at his side, her hand touching his face. It was a soothing balm to his pain, and he hadn't wanted her to leave. Only, when he'd awakened Geoffrey and Deaglan were present and there was no sign of", Genevieve
510,"Edgar rubbed the back of his neck and took a step further into the room. “From what I can discover, at one time she apparently contracted to work for the Empire.”
“Tweak number two,” Setzer said in a toneless voice. The Empire? Of course, a great many people had worked for the", Empire
511,"He had his ideas, and let me tell you, Missy, he don't like anything other than the best. He's got real nice taste. I'd've rather had a jukebox in the corner with some good ol' rock 'n' roll, but Crew insisted on a piano. I hate to admit it, but I like the", piano
512,"My father hugs her. I look at Lisa.

“I love her,” I say. “I’m in love with your daughter. I’ll take care

of them.”

We’ve got this.

Lisa can’t even look at me.

They both hate me.

“This started before I even met you,", Lisa
513,"I couldn't believe how this night had gone. I should've been out with Isabel right now.

""My name's not -""

""He can go sit in the car, too,"" I said. ""Have a good night, all. I'm out."" I left them there. As I climbed up the deck stairs, I wondered if I should call", Isabel
514,"She stood beside Zach as Michael pulled out of the driveway and down the street. They returned her bags to the house and closed the door.

""Do you know where Nolan lives?""

""Yeah. I drove him home a couple of times when he first started working for my dad. Before he started driving.""

""I think the fastest way to find Becky is to find", Nolan
515,"Brian looked at Milt and shook his head sadly. “Milt, it’s okay, these are friends. I know Sven from way back.” Brian turned back to Sven. “Sorry, he’s had a shock I think, he’s alright though.”
“We’ve all had a shock,” Sven said, offering his hand to", Milt
516,"“Humph!”
Sacha dried himself as much as he could and left the bathroom heading towards his dorm, putting on his watch, with Pip in tow.  Matron was coming up the stairs with a pile of towels.  She looked at Sacha’s bedraggled state.
“Looks like someone has been giving you a shower,", Sacha
517,"You can manage,” said Ana, and sat down at the table to eat as well. 
Zoe continued to sit in the living room, her feet propped up at the coffee table.
Ana said, “This also means that when you start school, you’ll have to do homework on your own. That goes for you, too,", Zoe
518,"In my dreams I somehow manage to arrive in time to stop Patty from leaving with that guy.” He tells me while he slowly withdraws his hand. I feel sure he senses the strangeness between us. 
“That’s understandable. I haven’t had any like that; just this weird reoccurring dream about a tunnel that is sort of obliquely about Patty. At least I think it’s about", Patty
519,"There was a moment of silence.

""Freak,"" Vee choked. ""You saw him nak*d? Where did it happen? His Jeep? His house? Your bedroom?""

""I did not see him nak*d! It was sort of an accident.""

""Uhhuh, I've heard that excuse before,"" said", Vee
520,"Tracy scowled, expressing her disapproval at taking on more passengers. Shane acted like he didn’t notice, turning around at the front of the first bus and dividing the kids into two groups.
“Kelly, will you please help this group onto our bus?” he asked. “The rest will ride with you,", Tracy
521,"I dug back into my philosophy lessons too, anything to take my mind off what had happened.

On Sunday, five days after my day in the park, Lucas asked gently if I didn't think I should try again.

""You know, get back out there, see if you can find another that you might be able to help.""

""I don't think I can do it,", Lucas
522,"Two, I may not have a wife or kid depending on me, but Haynes Racing has four hundred employees who count on me to keep roofs over their heads and food in their family's stomachs. I have no intention of letting them down. That's why I don't take stupid chances.

""I'm betting your father didn't", either
523,"His words pierce my tiny heart and hurt it so kindly. “I have not forgotten you. For you are very, very special to me.” I feel both the drums of our hearts pound proudly faster and louder. A notion of doubt warns me, “But, I am tiny and useless. How can you possible think I’m", special
524,"The true princess must be you, Lizzie. You are the one who will help us break the Code of Claw.""

""Then I have to stay, Gregor,"" said Lizzie. ""I can't leave and let everybody die.""

""What about Dad?"" asked Gregor.

""I don't know,"" said", Lizzie
525,"He turned to Napalm, “thank you very much for raising me, I am eternally grateful. Goodbye.”
The wolf then stood solidly on all four legs facing the far away giant, and braced himself as he opened his jaw wide. A blue light began to form the open jaw as if coming from inside the wolf. This light grew and grew until it was a blinding blue orb in front of the", wolf
526,"Meanwhile, next to them on Three, a huge giant 'popped' in, and the two youngsters scrambled to politely get out of his way.
""Be you Mary of Joanne Village?"" asked a shrill, piping voice that must have come from a nearby rabbit, which was a bit curious, as rabbits of course don't talk, or even path. 
""Yes, that's me!"" replied Mary, much more amazed by the fact that anyone at the Council Grounds knew her name than she was to be carrying on a conversation with a", rabbit
527,"""Connor's a little boy who wants a daddy,"" she said, lifting one shoulder in a casual shrug. ""He's had fun with you. It's only natural he'd start to think of you in that way.""

Didn't seem to be bothering her as much as it was bothering him, Griffin thought.

""I didn't mean to-""

""I know that,", Griffin
528,"This series is not high on my priority reading list, but I will probably pick up book one sometime in the future!

PURCHASE YOUR ADVERTISING SPACE TODAY!

Do you have a new book coming out and want us to advertise its release?  Are you a publisher and want to advertise your company?  Then look no further!  Here at Literary Lunes, we now offer low-cost, wallet-friendly", advertising
529,"Several also had numbers next to them indicating the extra quantities Lystus had purchased.
""Was this delivered somewhere? I can't tell by the invoice,"" said Gaent.
The stock boy took the invoice from Teria and glanced at it. ""It was picked up. It probably would have taken two trips.""
""Or one trip if Lystus had brought a friend,"" said", Gaent
530,"I would have loved to have that on video.”
	The kids laughed as Travis mimicked Justin’s reaction. They walked to a nearby cart and bought Dizzy a bottle of water. He was feeling better. A combination of getting the next clue, humiliating Justin, and talking to Megan all helped.
	Travis opened up the photos on his phone and scrolled through them, looking for the picture of the last", clue
531,"Why can't the bird see the way out?

""Who's Echo?"" asks Ryan.

""But the bird..."" I say, ignoring his question.

""Doesn't understand you're trying to help. If anything, it sees you as a threat. Now, tell me, who's", Echo
532,"I’d lost him again. I went ahead and bought the ornament and we moved on. Between that booth and the next one was another alley that stretched out lengthwise and was similar to a midway at the fair. 

“Let’s play a game,” I said. 

He pulled his brows together in the middle and said, “A", game
533,"""Yes, very well done, brother dear."" Ainsley came out of the crowd, her little girl, Gavina, on her arm. She kissed Elliot's cheek. ""Juliana will be pleased.""

""'Tis what he's hoping."" Daniel chortled.

Elliot secured the lid on the box of coins and handed it to", Ainsley
534,"“Junior?” Matthias said.
Constance stared at him. The stillness in the hall became palpable as the councilmen, each of them frozen, also stared at Matthias, and then their eyes and heads gradually turned to the princess, over in her humble stall.
Junior.
Constance took a step forward, coming to the edge of her", stall
535,"“Of course, Sabrina. That’s fine, I’ll go to bed early, rest up for tomorrow.”
“Tomorrow show you Tokyo, you no can meet the Shinkansen people until next day after, so only play tomorrow, that okay with you?” She asked.
“I think I can live with that,", Sabrina
536,"Lestat was sleeping kind of in this chapel in this old convent....""

""I remember from the books,"" said Antoine.

""Yeah, well, it was Armand who cleared the town. Antoine, please don't go there. He'll blast you right off the face of the Earth.""

""I have to go,"" said", Antoine
537,"The head judge said slowly, ""Yes, the defendants are on trial for treason.""

Nerissa stared at an empty spot on the wall for a moment, then shook her head. ""Forgive me. I have only just awoken.""

""Do you wish us to begin the proceedings again?"" asked the head judge.

""Oh, no, please continue,"" said", Nerissa
538,"“I am surprised you remember that thug. You were pretty drunk the night you met him,” said Zoe sarcastically.
“I’m quitting,” said Ana. “There won’t be any more alcohol.”
“So you say,” said Zoe.
“Come back home and watch me,” said", Ana
539,"Nike coughed, Frill gave a hiss of surprise when Ripred trod on her tail, Gregor's stomach rumbled with hunger. But the Vineyard of Eyes drank in their sounds and gave them nothing in return. It was very creepy. They had been walking for about five minutes when Gregor began to see them. The eyes. At first he mistook them for flowers or some of the enticing fruit that hung from the", vines
540,"""I shouldn't have to, Drew. You're not this guy. Come on.""

""What if I am? I thought you liked 'this guy'?""

""I liked you just the way you were.""

""Just not enough.""

""I can't help the way I feel,", Drew
541,"""I'd like to hear more about teleportation,"" her dad continued. ""How far can you travel?""

She sat up, anxious to hear his answer.

""I can go anywhere in the world,"" Gregori replied. ""But it has to be nighttime wherever I'm going.""

Abigail's dad exchanged a look with her, then turned back to", Gregori
542,"In high school I had taken all the AP courses I could, while Jessi had taken only the classes she was required to in order to graduate.

""Oh, by the way who is your friend here, Kels?"" Caught up in the distraction of class talk, I'd totally forgotten to introduce Kane.

""Um""-I cleared my throat-""This is Kane. Kane, this is my best friend,", Jessi
543,"London, and the mess of her own life, seemed blissfully far away.

""Why don't you show those paintings?"" Alice asked, at last, when they were lying side by side. ""The angry ones, I mean. I think they're beautiful. Vaguely disturbing,"" she added with a wry laugh, ""but", beautiful
544,"Within just a few minutes they were back onto Vine Street, it was a little easier now as he was getting to know this part of the town quite well. The Red Sudan pulled into the forecourt of the Professor Pittewurst’s Inn and parked. Brad drove passed and a little further down the Street and parked. He took his time in locking the car and walking back to the", Inn
545,"Irulan's father has been putting his legions through landing maneuvers.""

Irulan found something of interest in the palm of her left hand. A pulse throbbed at her neck.

""Irulan,"" Paul asked, ""do you persist in arguing that your father's one legion is nothing more than a toy?""

""What could he do with only one", legion
546,"""Her grief,"" said Logan, hoping Nicholas would understand and take his side if they came to blows. Which was a definite possibility.

""Ah,"" said Nicholas. ""So that's what you were doing.""

""It's incredibly dangerous,"" explained Tynan. ""And foolish. The woman would have healed on her own. Eventually.""

""I don't know,"" said", Nicholas
547,"The cat mewed.
“Did you hear that, Juniper?” Elijah smiled. “You’re gonna be good as new. Annie’ll fix you right up. You got to get better. It’d be too lonely at my house without you.”
“Your house doesn’t have to be so", lonely
548,"Only because I ran into Mrs Harris. Literally, I bumped into her because she was standing still in the middle of the sidewalk, looking at the lighthouse on the hill. I was about to mumble something ungracious and continue on past when she grabbed my shoulder tightly. “Ella, look!” she said, gripping me painfully as she pointed at the", lighthouse
549,"Frank, who’d been looking ahead while he walked stopped and took a small pair of Bushnell binoculars from the outside pocket of his suit.  He looked through the glasses, focusing on a man standing by a small brown tent just inside the forest. He passed the glasses to Bobby who had a look.
“That looks like your boy the tow truck driver, doesn’t it", Bobby
550,"The school didn't expect to see me again until after Christmas, which was fine with me. So, I spent my afternoons like this; sipping hot liquid with an old lady.

""The prophecy,"" she said.

I leaned back into my chair. ""I hadn't thought about the", prophecy
551,"We walked into the living room, where Carley had pushed herself up onto the sofa and pulled her robe tighter. “Hey, Susan,” she said.
“Hi! Oh, are you getting ready for the party? I’m so excited,” Susan gushed, sitting down in one of the chairs. Carley shut the TV off. 
“Yeah, so are we,” said", Carley
552,"I will not allow them to fall into the hands of the Church of Rome. I will take them to Iona. 
""That will take some time to arrange and I am mindful that not all the monks at Lindisfarne view the Celtic Church as we do. They may try to disrupt or delay our labors. 
""Therefore I have decided to remove the most valuable codex this very evening, before anyone is aware of my plan to go to", Iona
553,"He went back to his room, where Earl was packing all his stuff into his trunks. The warrior looked up with a faint look of hope, but Dagdron just sat down on his bed.
“Earl, do you know anything about magic?” Dagdron asked.
“Oh, Dagdron, don’t ask me about that. We’ve seen over the past couple of days that I have no sneaking skills and my brain definitely isn’t smart enough to understand", magic
554,"""That's why you need to come to France with me,"" he said, blazing a fiery trail of kisses across her cheek and to her neck. ""Just imagine..."" he whispered, ""I would make love to you every day.""

Tasha let out a deep sigh. ""You sure know how to tempt a girl.""

""Then come with me.""

""Maybe I could get a job in", France
555,"“The inscription reads; ‘here lies Macularta he was a good priest to William Haleton.’”
“We’ve hit the jackpot,” announced Haleton.
Amber lowered her voice to a decibel above a whisper. “It looks like we might have to dig into the coffin to find the scroll. Let’s hope it’s still inside and hasn’t been stolen or worse, Rose-a-lee forgot to place it in Macularta’s", coffin
556,"The bill was only $30,"" she reminded him.
""That's okay, it's better to be generous. People are nicer to you that way,"" he said, as he shrugged his shoulders. 
Emma was amazed again. Who was this guy? Tall, dark, handsome, fast, strong, and", generous
557,"Riley noticed her expression and offered her a half smile. ""Sorry. I'll make it quick and painless, okay?""

""You shouldn't threaten,"" she said. Rather than fear, he heard anger in her voice. A whole lot of anger. So why was she looking at Victoria now, rather than", Riley
558,"“In truth, Ananda, only the being himself, or herself, can wake the being—and only from within.
“Men’s laws are like walls or fences which contain the herd, and keep it from straying. They are like the banks or levees of a river to guide its course or prevent its overflowing.”
“We have many rules for the Sangha,” said", Ananda
559,"I have to get Logan to the cave, I don’t have time to deal with this right now.
“Why are you surprised?” Logan asks, keeping his eyes on the parking lot. Searching for Ryan.
“I didn’t ask him to come here. I want to get to the cave, just like you.”
His shoulders tense, gaze focused on the other side of the", lot
560,"How Gavan had swung getting Dylan into the ring against him, Spike didn't know. But if Dylan went down under Spike, that would send a signal to Shiftertown that the Morrisseys could lose strength.

Out of the corner of his eye, Spike saw Connor Morrissey approach Myka. Gavan shot Connor a suspicious look then moved his focus back to the", ring
561,"She looked like a thundercloud about to burst, but when she saw Holt she calmed down a little. He ushered her inside and said, “How are you?” 
“I’m fine,” she answered; now she was outright smiling. “Just came to see Nick.”
“He should be alright now,” said", Holt
562,"He gripped the wall with his hands, and lashed out with both feet, and struck the projecting edge of the metal. He'd balanced it just so, and he'd been unsure it would even hold the heavy man's weight. Now, as he kicked it with both feet, it slid aside, and tumbled into the dumpster.
The fat man in the sweat soaked overalls had time to gape at Soro, unbridled horror on his slack face, and then he slid down the falling metal sheet, into the yawning mouth of the", dumpster
563,"Every step he takes toward me brings him into sharper focus, and I find myself noticing each detail that reminds me of Paul in Russia, and each one that makes them different.

He speaks first. ""Thank you for coming here. For trusting me.""

I still can't get over seeing him alive again. ""How-how did you get out of", Russia
564,"I’ve been out most of the morning; only got home ten minutes ago.” 
“I see. Well, just remember that you should call me first if you have any problems; it’s in the lease. You know what I mean?” She winked at him.
Henry didn’t remember exactly what was in the", lease
565,"He exhaled to calm himself, kissing Zane again as Zane finally straightened up and loosened his hold. They both knew thirty minutes wasn't enough time.

""Zane?"" Ty said, voice more serious. ""What do you plan to tell your family about us?""

Zane stared out the bank of windows for a few moments before looking back at", Ty
566,"Before I'd come over here, I had packed everything I'd brought from Minnesota back into my backpack, and put it in the tiny backseat. Tonight I was staying at Jeremy's, and in the morning I was doing some wrap-up stuff with Baby and a couple of interviews with some magazines. And then - I didn't even know.

I didn't want to go back to", Minnesota
567,"I immediately jumped into action before the arguments could start. I produced Tatiana's note, reading it aloud and then letting Dimitri look at it. I told them about my ghostly encounter, where the queen's troubled spirit made me believe there was truth to this. Nonetheless, my companions were skeptical.

""You have no proof Tatiana wrote the note,' said", Dimitri
568,"said Luxa.

""Your sister, Overlander, is about to be torn apart by cutters,"" said Ripred. ""And I need you on Nike, Your Highness. Your bond is in no condition for battle.""

""Battle?"" said Gregor numbly. ""The ants are here for a", battle
569,"She had been glancing around the room, but there was

nothing suspicious to see except the unusual clutter-the curtains hung motionless over the shut window;

the pile of bedding on the floor was still. Now she turned to face Jez again. ""You didn't call to say you

were going to miss dinner again. I need to know where you go after school,", Jez
570,"He looked at her with surprise, and his facial expression made her laugh even more. “Call me when you are ready to hang out, okay?” Amber turned around to walk away. Benjamin stood paralyzed and watched her leave until his parents bombarded him with questions and led him to the house. One quick shower, one quick parental update, and three of his mom’s sandwiches later, Benjamin was out the door to see", Amber
571,"""Angelica called Silas, who called Gabriel.... Your parents are in Omaha. They want you to go back, they're waiting for you.""

I sat in stunned silence for a few minutes, staring past Jericho at a spot on the wall I wasn't really seeing. I had been thinking about going back to", Omaha
572,"As he entered and walked to their table his excitement was quelled by the absence of people at the table.
“Where’s my parents,” Jay asked as he approached Michele and her mom who were sitting alone.
Michele got up to give him a congratulatory hug but could tell that he was not a happy person.
“Sit down Jay and we’ll tell you the story,” said Patty as she pulled out the chair between her and", Michele
573,"He’s never seen one like this since there aren’t many robots left. The Terrains are considered the ultimate achievement in robotics, why would anyone want the others around?

He flipped the switch on and the lights in his eyes being to turn on. “Good morning!” it exclaimed.

Jacob and Jeremy laughed for it was not", morning
574,"Between losing Pandora and Luxa, whom he'd only just found, really, and the responsibility of a kingdom hanging over him - he was clearly overwhelmed. ""I do not know what to do. Andromeda, what say you?""

""I will not fight the Overlander and risk injuring him. I am taking Mareth home,"" said", Andromeda
575,"My right hand goes unconsciously to my left wrist, rubbing it, retracing the area that was once, three months ago, bruised from being forced down to the ground, pinned between the dirt and a man who reveled in the evil he committed.

Dad wraps his arm around me. ""The shipborns,"" he begins gently, ""they're different from what I expected.""

""They're different from what I expected", too
576,"“It says ‘Uncle Nick, I don’t want to be taken away, please come and … yeeeoooow.’ That’s all, except there is the sound of a woman’s voice in the background, obviously shouting at him. The phone seems to have been grabbed from him, as the boy can be heard crying out.
“This is a bit upsetting for all of us, but must be especially so for you,", Nick
577,I leaned back against the wall and dug in my jacket pocket for a cigarette.  My hands shook as I lit up and blew the smoke in Jay’s face.  He was in my personal space and he deserved it.  He gave a disgusted cough and backed-up.  Under normal circumstances he would have started in on me about my, smoking
578,"With luck, the incoming text message might be information that would grant Trish a reprieve from this distasteful task. She waited as Katherine fished the iPhone from her lab coat's pocket and eyed the screen.

Katherine Solomon felt a wave of relief to see the name on her iPhone.

At last.

PETER SOLOMON

""It's a text message from my brother,"" she said, glancing over at", Trish
579,"asked Dormer.
“Never seen her,” said Adsen. “Never heard of her. Alistair must have picked her up after the medical facility was destroyed, or else she’s lying about working for him.”
“Why would she lie?” asked Dormer.
“Any number of reasons,” said", Adsen
580,"The following morning, after a hearty full English breakfast that Ced demolished while the landlady of the B&B looked on in rapture, they took a walk around the village to check if the gallery had opened. They were about a hundred yards away when they saw an ageing Volvo draw up outside the gallery. John Andrews got out of the passenger side, waved to Lola as she drove off and unlocked the gallery door.
“That was close,” whispered Ced. “If we’d been a couple of minutes earlier, we’d have been right outside the", gallery
581,"I had to remind myself that he had been unconscious back at the outpost. He had undergone emergency surgery to remove a bullet from his chest. He was obviously not fully recovered.
He continued to search the pockets of the dead soldier, picking him clean. In the soldier’s vest he found a couple of energy bars.
“Here, eat this,” he said as he handed me one of the", bars
582,"Having meetings in the Queen of Scots had seemed such a reasonable thing to do – it hadn’t occurred to him before that having a few drinks could be misinterpreted, or indeed that anyone was keeping track of this expenditure. After all, people couldn't be expected to turn up at meetings at all without an incentive. It was all quite harmless, and they did stick to the agenda and have minutes. Or did they?
'I thought you were meant to be the", secretary
583,"""Mostly up and about as well. Demoux is among the last batch. A few more days, and the army will be back to full strength.""

Minus those who died, Elend thought.

Cett eyed Demoux. ""Most of the men recovered weeks ago. A bit weaker in the constitution than one might expect, eh,", Demoux
584,"""Yes sir, she's very beautiful."" I glared at Connor and then smiled at the bellhop.

""Darling husband, make sure you tip this nice young man well.""

He pulled out a wad of money from his pocket and started thumbing through the bills. I walked over to him and grabbed a hundred-dollar bill and handed it to the", bellhop
585,"It feels so complicated, seeing her.""

""She's a person, not a jigsaw puzzle. Go see her. She'd love to see you. What about Bowditch Bridge? Have you been there?""

Bowditch Bridge. Even the name made me think of a blade, recarving my scars. ""I'd definitely brave seeing Birdie before I went back to the", bridge
586,"I imagine there are other ways to do it but I've never investigated any. Crystals work for me so I use them.”
“There are other ways we know of but crystals are in the top three for efficiency of storage.”
“What other ways?”
“We have constructed batteries that will store magic. Depending on what materials they are made of they can be better than", crystals
587,"""So what have you found out?"" Gaent asked.
Nero put out both hands in front of him, fingers wide. ""Nothing,"" he pronounced.
""You were always a good investigator,"" said Gaent. ""I don't believe it's nothing.""
""Maybe I've lost my touch,"" said", Nero
588,"It was a peculiar noise, like one of those water-warblers people make bird noises with. ""I'm afraid I can't tell you precisely where the Sage is,"" the voice out of nowhere said. ""You have to find him for yourself. Think about it, child-of-a-god. You must have noticed there's a pattern.""

""Too right, there's a", pattern
589,"It should have been coy; it should have had many strange pauses and moments of double meaning. Instead Camille was acting like she'd just seen Magnus yesterday. Like they were simply friends. It was enough of an entry to allow him to get to the point.

""I'm here because there's a problem,", Camille
590,"""Ma, stop.""

""Don't protect him, Tristan."" She looks down at the beer can in my hand, then shakes her head in disgust. ""Caleb, please leave my house.""

I put the unopened can down on the table. Mrs. Norris doesn't even look at the", can
591,"When you try to understand what made people willing to sacrifice so many lives you just end up with a convoluted, mixed-up mess of a story. Look at Lee, a man who apparently didn’t believe in slavery, serving out of loyalty as the commanding general of the South. I suppose that when he sorted things out, his feelings about slavery weren’t as strong as the loyal feelings he had for the", South
592,"* * * * * *



Epilogue Two Nights Later

TRENT

From high above, perched on the thick branch of a tree, I watched the cars below passed by. They were the only things on the streets at the moment. It was nights like these that I wished something would happen. It was too quiet, too peaceful, too…", boring
593,"Godric did not budge until he finished his own meal. Then he told Edric to find some honey. They carried it to Dudda and smeared it over the angry injury.
Dudda watched them with teary eyes, fearful yet desperate to trust them. “What did you do to me?”
“I did my best to heal you,” said", Godric
594,"I just haven't thought about it.""

""Were you not going to attend? You were a hit at the last one.""

""Yes. With my psychohistory. Some hit.""

""You attracted the attention of the Emperor. No other mathematician did.""

""It was you who were initially attracted, not the", Emperor
595,"I yelled. Instantly, the pain spread to my throat, making me quite unable to speak. It didn't matter, though, Holly heard me, and turned toward me. Some of the pain that had clouded her eyes left.
""Evanna,"" she said. ""Wh-""
""You have to do it,", Holly
596,"He was about to wave it away and buy something else when Ellie stepped up beside him.

""Can I ask you one more question?"" she said. ""Just for research purposes?""

The woman nodded, chewing her lip.

""Have you ever even heard of a whoopie pie?""

""I don't-"" she began, then looked at Graham, who raised his chin up and down almost imperceptibly, and the cashier's eyes drifted back to", Ellie
597,"""I was wondering, Mr. Innis, is there someone who could watch your daughter for a little while?"" Will had been leaning on the fence. Now he turned and faced the detective. His head wasn't clear. It took a moment to locate the exact words he wanted.

""Why would she need to be", watched
598,"Annabelle seized hold of Dani's hands, flashing her radiant, loving smile. ""And who are you?""

Dani studied her for a moment, managing a wan smile. ""Danielle,"" she said softly. ""But you can call me Dani.""

""It's a pleasure to meet you", Dani
599,"Robert, perhaps we should call it a day.  I'm sure Dr. Rider can ask the nurse to give you something to help you sleep.""
Dr. Pazzo laughed bitterly.  ""Why should I get to sleep peacefully Frank?  When everyone else is troubled.  I know how rare sedatives are these days.  Since I am the author of all this,"" he raised his hands and spread his arms around him, ""why should I be the one that", sleeps
600,"“Most people don’t, but I won’t take it personally.”
A door squeaked open and slammed against a wall at the far end of the corridor, followed by footsteps advancing toward her cell. Emma, jerked back to the reality of imprisonment, stiffened with apprehension.
“David?” she whispered.
“Stay calm and don’t speak to the guard,", Emma
601,"Whether it was her obvious enmity for him, or her sheer hardheadedness, he wasn't sure. But there was something about Bella that got to him. Felt somehow...familiar.

Jesse pulled in a deep breath, leaned both hands on the counter and looked at her. ""It's just some walls and windows, Ms. Cruz-or can I call you", Bella
602,"Laurence slowly went to him; he felt uncertain-what could one say, to a dragon? He had no orders to give. But Temeraire's head lifted and turned to meet him, something half-hopeful and wary in his looks; Laurence said, ""If you are not otherwise occupied, may I bear you company?""

""Oh!"" Temeraire said, ""as though you had to ask,", Laurence
603,"I saw all the commotion in the hall a minute ago.” Holly glances from Becca to me. “I don’t know why she acts like that. She’s definitely starting to get on people’s nerves on the squad, and it’s only gotten worse since she’s become captain.”
“Yeah, about that,” I frown, “Why aren’t you", captain
604,"Finally, she bought him shoes with a Velcro closure, and what had once been such a struggle, became a somewhat simple task.  Now all she had to worry about was him chewing on the Velcro. When you solve one problem, there is always another one right behind it. Progress, Willow knew from experience, seemed to be the ability to solve an endless supply of problems.
Tommy stood up, his shoes on the wrong feet and looked up at", Willow
605,"""I have enough to worry about and so does my son, without either of us having to worry about you.""

Well, Fiona had to admit, that was true enough.

The color went out of Bella's cheeks again and Fiona reckoned Bella agreed.

""Go to bed,"" Prentice repeated.

Bella looked to the oven, her shoulders fell then she looked back at", Prentice
606,"The door of the study opened straight onto the terrace. Von Bork pushed it back, and, leading the way, he clicked the switch of the electric light. He then closed the door behind the bulky form which followed him and carefully adjusted the heavy curtain over the latticed window. Only when all these precautions had been taken and tested did he turn his sunburned aquiline face to his", guest
607,"Breathless, she dropped back against her pillows.

He was at the side of the bed in an instant. ""Are you all right? Do you need a nurse?""

""I'm fine,"" she lied tightly as the pain began to ebb into a just barely tolerable ache. ""And no, I don't need a", nurse
608,"pulled out my place card from the dinner. “want to tell me what this says, Nicky?” i stretched my arm across the table, let him have a look. “hmm?”
“head table,” Nick said.
“yeah,” i threw it in his face. “maybe next time you pick something a little less misleading for those of us who have nothing else to live for…”
and with another toast, it was signed into law, just as Kayla sat down next to", Nick
609,"Haven’t been able to party like this for two years.  Know any risky ways to have some fun around here?”
The first thing she ever said to him was in reply to his ridiculous introduction.  “Well, first, only morons take risks,” she said.  “And, second, I don’t talk to", morons
610,"“I will make sure Zoe sees this,” said Ana.
“Well, I should say goodbye, too,” said McKenzie. “I’ve got some more details to wrap up for this case.”
“I totally underestimated you,” said Ana.
“Too late, you had your pick, and you went for the nerdy professor,” said", McKenzie
611,"She put the bottle back on the shelf, and grabbed a bottle of gray salt instead.

""Why gray instead of pink?""

Scout shrugged and moved over to the next bank of shelves, which held old coins and metal knickknacks. ""It's my go-to shade.""

""Veronica has lip stain; you have", salt
